TransactionID,AccountID,TransactionAmount,TransactionDate,Location,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionFreq,TimeInterval,Channel_ATM,Channel_Branch,Channel_Online,Cluster,Fraud,FraudLabel,DBSCAN_Label,DBSCAN_Cluster,DBSCAN_Fraud,PCA_1,PCA_2,Cluster_KMeans_Optimized
TX000025,AC00241,145.54,2023-03-02 16:43:56,Raleigh,96.0,1.0,1930.96,2024-11-04 08:07:09,9.0,612.6411226851852,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.35913776016059046,1.731422818830181,0
TX000026,AC00041,7.490000000000009,2023-10-20 17:53:13,Houston,276.0,1.0,3634.67,2024-11-04 08:09:44,7.0,380.59480324074076,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5718896550100606,1.7136224065084573,0
TX000027,AC00441,246.93,2023-04-17 16:37:01,Miami,158.0,5.0,673.3500000000004,2024-11-04 08:11:38,6.0,566.6490393518518,1.0,0.0,0.0,1,True,Fraud,-1,Fraud,Fraud,-1.3606853232454148,-1.1565405956515622,1
TX000028,AC00057,40.31999999999999,2023-03-29 16:42:38,Milwaukee,95.0,1.0,2686.52,2024-11-04 08:11:59,5.0,585.6453819444445,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6492675580303546,-0.4277168083592692,2
TX000029,AC00390,127.44999999999999,2023-01-24 16:18:32,Las Vegas,197.0,1.0,1772.06,2024-11-04 08:11:22,7.0,649.6616898148148,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5298823915359773,1.7065057368910492,0
TX000030,AC00313,56.170000000000016,2023-09-20 16:55:42,Detroit,283.0,1.0,1351.69,2024-11-04 08:08:30,3.0,410.63388888888886,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.362524163255733,-0.46403041373110854,2
TX000031,AC00367,28.310000000000002,2023-07-17 17:49:22,Miami,20.0,1.0,8334.47,2024-11-04 08:09:17,7.0,475.59716435185186,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.24296672243681602,1.7416199501090726,0
TX000032,AC00291,59.120000000000005,2023-02-06 16:24:24,Baltimore,257.0,1.0,9823.64,2024-11-04 08:06:58,7.0,636.6545601851852,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.2554260312910026,-1.1851982098878764,1
TX000033,AC00060,396.45,2023-09-25 16:26:00,New York,168.0,3.0,9690.15,2024-11-04 08:11:13,4.0,405.65640046296295,1.0,0.0,0.0,1,False,Not Fraud,-1,Fraud,Fraud,-1.3451261526296583,-1.1978224241515383,1
TX000034,AC00359,877.81,2023-03-13 17:23:24,Los Angeles,150.0,1.0,399.0,2024-11-04 08:07:50,6.0,601.6141898148148,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6825697148459655,1.6447962794825393,0
TX000035,AC00365,255.26,2023-10-27 16:42:49,San Francisco,50.0,1.0,14815.87,2024-11-04 08:10:51,5.0,373.6444675925926,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.782885938309636,-0.41098089137016486,2
TX000036,AC00267,124.75999999999999,2023-10-16 16:32:56,Seattle,45.0,1.0,5764.72,2024-11-04 08:06:23,10.0,384.6482291666667,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.872435573634132,-0.37640414206991274,2
TX000037,AC00404,78.13,2023-11-21 16:58:44,Milwaukee,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,4.0,348.6344212962963,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5362724607269902,-0.44744089743443854,2
TX000038,AC00202,649.28,2023-03-02 17:53:32,San Jose,137.0,1.0,4875.86,2024-11-04 08:11:15,12.0,612.5956365740741,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.147976244805885,-1.1831912958068522,1
TX000039,AC00478,795.31,2023-10-12 17:07:40,Mesa,90.0,2.0,7914.88,2024-11-04 08:11:17,7.0,388.62751157407405,1.0,0.0,0.0,1,False,Not Fraud,-1,Fraud,Fraud,-1.2591450723933184,-1.2128961419056663,1
TX000040,AC00405,335.63,2023-01-24 17:17:20,Oklahoma City,216.0,1.0,1019.3899999999999,2024-11-04 08:07:32,6.0,649.6181944444445,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6337536023854867,1.6795045212141535,0
TX000041,AC00421,328.47,2023-07-31 18:39:50,San Antonio,119.0,1.0,4323.66,2024-11-04 08:07:31,3.0,461.5608912037037,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.3410851719324302,-1.2442204571159432,1
TX000042,AC00480,34.01999999999998,2023-01-09 16:13:21,Philadelphia,19.0,1.0,14214.48,2024-11-04 08:11:45,11.0,664.6655555555556,0.0,0.0,1.0,0,True,Fraud,1,Suspicious 1,Not Fraud,-0.05794148923861738,1.7922494184999065,0
TX000043,AC00120,241.42,2023-04-20 18:57:43,Charlotte,116.0,1.0,13357.02,2024-11-04 08:09:03,6.0,563.549537037037,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.3713911031544777,1.7223423863210876,0
TX000044,AC00117,55.31999999999999,2023-04-12 16:03:37,Tucson,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,1.0,571.6697453703704,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.385596054119084,-1.2531062264326878,1
TX000045,AC00011,304.31,2023-07-26 16:52:28,Louisville,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,7.0,466.6370949074074,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.703520912804218,-0.42748544370095826,2
TX000046,AC00401,435.27,2023-10-04 17:49:29,Chicago,90.0,1.0,4673.28,2024-11-04 08:11:12,6.0,396.59841435185183,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6226851097601058,-0.44107369807011665,2
TX000047,AC00282,164.49,2023-12-13 16:01:38,Baltimore,75.0,1.0,1509.27,2024-11-04 08:10:33,6.0,326.6728587962963,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6630248495551152,-0.42847481264075404,2
TX000048,AC00439,510.24,2023-10-09 16:29:40,Oklahoma City,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,9.0,391.65410879629627,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.4588506023569522,1.7025170444160793,0
TX000049,AC00296,626.9,2023-11-27 16:45:57,Denver,138.0,1.0,265.5100000000002,2024-11-04 08:07:24,4.0,342.63989583333336,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6785859667908197,1.6443686033209817,0
TX000050,AC00471,22.00999999999999,2023-03-27 16:45:18,Sacramento,175.0,1.0,1335.0900000000001,2024-11-04 08:06:31,6.0,587.6397337962962,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5183983360492964,1.70516699095583,0
TX000051,AC00159,425.34,2023-02-13 16:59:39,Kansas City,121.0,1.0,3907.54,2024-11-04 08:07:07,5.0,629.6301851851852,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5474824009389813,1.677566477034764,0
TX000052,AC00482,424.56,2023-02-21 17:45:55,Omaha,264.0,1.0,5183.85,2024-11-04 08:09:02,6.0,621.5993865740741,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6612756313055753,1.679632589374431,0
TX000053,AC00115,85.43,2023-06-07 16:45:34,Virginia Beach,145.0,1.0,14904.9,2024-11-04 08:06:45,3.0,515.6397106481481,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6536649512838784,-0.4242513915606172,2
TX000054,AC00055,169.5,2023-09-07 16:51:27,San Diego,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,5.0,423.6371643518519,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.550959925026244,-0.4443065497414399,2
TX000055,AC00419,104.63,2023-03-29 17:47:16,Omaha,90.0,1.0,4477.78,2024-11-04 08:10:42,3.0,585.5996064814815,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.2598037738809695,-1.226090948931845,1
TX000056,AC00374,316.95,2023-08-04 17:53:40,Mesa,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,6.0,457.5941550925926,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6198053787354543,-0.44016787499481685,2
TX000057,AC00271,60.53999999999999,2023-12-14 17:52:37,Columbus,52.0,1.0,3534.93,2024-11-04 08:09:57,5.0,325.59537037037035,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7015931432637392,-0.42404687766578647,2
TX000058,AC00456,292.56,2023-03-03 17:37:41,Dallas,61.0,1.0,4638.37,2024-11-04 08:07:49,11.0,611.6042592592593,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.8376464256936713,-0.3826851592715542,2
TX000059,AC00143,386.52,2023-06-09 16:18:15,Indianapolis,28.0,1.0,5630.61,2024-11-04 08:07:09,5.0,513.6589583333333,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6812564880415106,-0.44022778032625776,2
TX000060,AC00427,112.07,2023-10-02 16:35:22,Kansas City,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,9.0,398.6501736111111,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7862885057692557,-0.39660829150538685,2
TX000061,AC00438,568.52,2023-10-06 18:44:37,Indianapolis,152.0,1.0,5499.91,2024-11-04 08:06:25,8.0,394.55680555555557,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.2630943778605521,-1.2142515688753075,1
TX000062,AC00002,263.99,2023-05-16 16:07:30,Dallas,227.0,2.0,4175.02,2024-11-04 08:11:03,7.0,537.6691319444444,0.0,1.0,0.0,2,False,Not Fraud,-1,Fraud,Fraud,1.5211632689892556,-0.4144265881284196,2
TX000063,AC00425,349.64,2023-11-07 16:48:23,Las Vegas,226.0,1.0,6651.62,2024-11-04 08:08:09,7.0,362.63872685185186,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5570661608376251,1.7003456501416274,0
TX000064,AC00325,601.4,2023-05-30 17:43:25,Philadelphia,104.0,1.0,8458.29,2024-11-04 08:08:01,5.0,523.6004166666667,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5817297065311042,-0.4540837196605171,2
TX000065,AC00434,5.769999999999982,2023-11-02 16:01:40,Charlotte,124.0,1.0,13988.12,2024-11-04 08:11:32,7.0,367.6735185185185,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.2928464909352189,1.7490425788302923,0
TX000066,AC00242,201.33,2023-03-29 17:00:31,Nashville,186.0,1.0,2585.07,2024-11-04 08:11:41,9.0,585.6327546296296,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6356675151345839,-0.40866271546339933,2
TX000067,AC00319,298.42,2023-04-25 16:11:24,Indianapolis,225.0,1.0,3014.75,2024-11-04 08:10:12,5.0,558.6658333333334,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.454140117393945,-0.4543658119955068,2
TX000068,AC00460,521.06,2023-04-18 18:40:47,Albuquerque,128.0,1.0,1951.42,2024-11-04 08:12:10,12.0,565.5634606481482,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7168855923528679,-0.40055759535394064,2
TX000069,AC00461,117.28,2023-02-09 16:34:53,Austin,16.0,1.0,3665.77,2024-11-04 08:07:11,3.0,633.6474305555555,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.429644006340231,1.6875683456013346,0
TX000070,AC00395,189.12,2023-11-13 16:42:28,Indianapolis,103.0,1.0,977.0100000000002,2024-11-04 08:08:42,3.0,356.6432175925926,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5293760555881801,-0.46129837219870284,2
TX000071,AC00217,133.55,2023-07-18 16:12:00,Atlanta,220.0,1.0,3846.28,2024-11-04 08:10:18,6.0,474.66548611111114,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.324724157161095,-1.2111092434906414,1
TX000072,AC00053,143.21,2023-01-13 17:00:16,Dallas,135.0,1.0,6374.82,2024-11-04 08:09:26,7.0,660.6313657407408,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.4155060666506825,1.7206940688601722,0
TX000073,AC00282,24.769999999999982,2023-07-04 18:20:33,Boston,55.0,1.0,5866.01,2024-11-04 08:12:15,6.0,488.57756944444446,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.0975380529952519,-1.1868791284364042,1
TX000074,AC00110,233.92,2023-10-20 16:54:28,Jacksonville,280.0,1.0,6537.62,2024-11-04 08:08:45,8.0,380.63491898148146,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5628395941602496,1.713584018065336,0
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Indianapolis,24.0,1.0,605.9499999999998,2024-11-04 08:06:51,9.0,396.64608796296295,0.0,1.0,0.0,2,True,Fraud,2,Suspicious 2,Not Fraud,1.5788833240288507,-0.47253558808588514,2
TX000076,AC00239,232.12,2023-12-28 17:31:03,Omaha,51.0,1.0,6689.87,2024-11-04 08:09:17,5.0,311.6098842592593,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.1589589815859018,-1.208457504978468,1
TX000077,AC00007,162.63,2023-06-12 17:53:52,Kansas City,113.0,1.0,634.1700000000001,2024-11-04 08:08:22,5.0,510.5934027777778,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5177677355545216,1.6888395843323576,0
TX000078,AC00022,91.53,2023-03-13 16:32:12,Milwaukee,69.0,1.0,14676.05,2024-11-04 08:11:36,4.0,601.6523611111111,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7645769441165366,-0.41048083147760595,2
TX000079,AC00464,120.29000000000002,2023-12-18 18:46:27,Miami,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,8.0,321.55582175925923,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7298096345432266,-0.40731202772164243,2
TX000080,AC00014,174.25,2023-07-17 18:54:31,Seattle,67.0,1.0,10528.34,2024-11-04 08:10:29,9.0,475.55275462962965,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.2413620373331292,1.751740308237563,0
TX000081,AC00406,183.71,2023-06-19 18:22:10,Denver,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,1.0,503.5747800925926,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.3929651814443862,-1.2602927372967028,1
TX000082,AC00445,345.39,2023-10-23 17:13:57,Phoenix,80.0,1.0,6451.96,2024-11-04 08:08:16,5.0,377.62105324074076,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.4579771143614075,1.6921051448309927,0
TX000083,AC00236,922.55,2023-01-23 16:32:48,Detroit,87.0,1.0,4715.84,2024-11-04 08:11:07,6.0,650.6516087962963,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.335962954202084,-1.254789698161139,1
TX000084,AC00220,259.91,2023-11-06 16:34:10,Denver,170.0,1.0,7176.86,2024-11-04 08:09:38,6.0,363.64962962962966,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5010381963754429,1.7026143386593304,0
TX000085,AC00140,154.71,2023-07-03 16:40:24,San Diego,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,7.0,489.6453472222222,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.4940814407143788,1.7068841763982872,0
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Austin,30.0,1.0,8654.28,2024-11-04 08:06:53,5.0,401.61438657407405,0.0,0.0,1.0,0,True,Fraud,1,Suspicious 1,Not Fraud,-0.5905182626305626,1.6311817413937575,0
TX000087,AC00303,24.560000000000002,2023-10-20 17:27:35,Mesa,69.0,1.0,9869.93,2024-11-04 08:12:05,6.0,380.6142361111111,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7886628397733466,-0.39855103662428354,2
TX000088,AC00373,568.07,2023-08-28 17:03:53,Washington,115.0,1.0,10556.81,2024-11-04 08:07:32,9.0,433.6275347222222,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.1374905260804329,-1.1903760775172196,1
TX000089,AC00438,9.610000000000014,2023-06-22 18:37:29,San Diego,179.0,1.0,12883.91,2024-11-04 08:09:10,8.0,500.5636689814815,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.3357015184043936,1.7515002341315407,0
TX000090,AC00437,392.96,2023-11-20 16:28:09,Kansas City,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,4.0,349.65311342592594,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5812314156134273,1.6647283228318412,0
TX000091,AC00106,716.93,2023-09-14 16:49:33,Milwaukee,34.0,1.0,4064.02,2024-11-04 08:08:12,6.0,416.6379513888889,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.48094596931237765,1.6730315812237675,0
TX000092,AC00310,223.85,2023-10-02 16:36:10,Kansas City,55.0,4.0,2929.91,2024-11-04 08:08:01,7.0,398.64711805555555,1.0,0.0,0.0,1,True,Fraud,-1,Fraud,Fraud,-1.1755277037698268,-1.1493159642805921,1
TX000093,AC00149,230.66,2023-03-27 18:16:04,Houston,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,6.0,587.5796296296296,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5730832683578007,-0.4395196464828706,2
TX000094,AC00373,442.12,2023-12-21 16:37:03,Los Angeles,260.0,1.0,1375.8000000000002,2024-11-04 08:08:21,9.0,318.6467361111111,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6094810846571314,1.697555142337217,0
TX000095,AC00425,644.17,2023-03-02 16:05:09,San Antonio,72.0,1.0,1143.52,2024-11-04 08:08:04,7.0,612.6686921296297,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.2677810495365593,-1.233342124935829,1
TX000096,AC00010,508.68,2023-06-26 16:16:50,Mesa,127.0,1.0,7708.41,2024-11-04 08:09:32,7.0,496.6615972222222,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6291565217412316,-0.43244981151693834,2
TX000097,AC00348,858.6300000000001,2023-04-18 17:27:23,San Francisco,185.0,1.0,1872.96,2024-11-04 08:10:47,4.0,565.6134722222222,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.3365799564710854,-0.5027105065436741,2
TX000098,AC00011,25.360000000000014,2023-07-17 17:08:24,Louisville,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,7.0,475.62686342592593,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.15300447032368,-1.1926353004795107,1
TX000099,AC00453,147.62,2023-09-01 17:26:02,Charlotte,133.0,1.0,2115.8,2024-11-04 08:07:22,9.0,429.61203703703706,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.7006923670276421,-0.4021975335766683,2
TX000100,AC00178,115.01999999999998,2023-09-11 16:19:04,San Antonio,175.0,1.0,7643.66,2024-11-04 08:08:38,5.0,419.6594212962963,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5978372086206303,-0.42702361899872915,2
TX000101,AC00265,383.37,2023-01-24 17:23:56,Fort Worth,24.0,1.0,8901.93,2024-11-04 08:11:07,9.0,649.616099537037,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.8436282534745778,-0.39490524231426233,2
TX000102,AC00018,98.54000000000002,2023-08-11 16:18:46,El Paso,167.0,1.0,9383.43,2024-11-04 08:10:02,3.0,450.6606018518519,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5316349024995525,1.6914994030564157,0
